DATA_TIME,vehicleState,runModel,chargeState,speed,gear,distance,SOC,totalVoltage,totalCurrent,lon,lat,maxTemperature,minTemperature,maxBatteryVoltage,minBatteryVoltage
2020-03-22 16:47:40,1.0,1.0,3.0,0.0,0.0,1.0,50.0,533.9,1.2,113.063455,27.829216,-39.0,-39.0,0.256,0.256
2020-03-22 16:47:50,1.0,1.0,3.0,0.0,0.0,1.0,50.0,533.8,1.4,113.063491,27.829288,-39.0,-39.0,0.256,0.256
2020-03-22 16:48:00,1.0,1.0,3.0,0.0,0.0,1.0,50.0,533.8,1.5,113.06353,27.829341,-39.0,-39.0,0.256,0.256
2020-03-22 16:48:10,1.0,1.0,3.0,0.0,0.0,1.0,50.0,533.8,1.6,113.063531,27.829378,-39.0,-39.0,0.256,0.256
2020-03-22 16:48:20,1.0,1.0,3.0,0.0,0.0,1.0,50.0,533.8,1.5,113.063501,27.829411,-39.0,-39.0,0.256,0.256
2020-03-22 16:48:30,1.0,1.0,3.0,0.0,0.0,1.0,50.0,533.8,1.6,113.063496,27.829401,-39.0,-39.0,0.256,0.256
2020-03-22 16:48:40,1.0,1.0,3.0,0.0,0.0,1.0,50.0,533.7,1.7,113.063488,27.829398,-39.0,-39.0,0.256,0.256
2020-03-22 16:48:50,1.0,1.0,3.0,0.0,0.0,1.0,50.0,533.8,2.1,113.063478,27.829405,-39.0,-39.0,0.256,0.256
2020-03-22 16:49:00,1.0,1.0,3.0,0.0,0.0,1.0,50.0,533.8,1.4,113.063451,27.829405,-39.0,-39.0,0.256,0.256
2020-03-22 16:49:10,1.0,1.0,3.0,0.0,0.0,1.0,50.0,533.8,1.4,113.063443,27.82939,-39.0,-39.0,0.256,0.256
2020-03-22 16:49:20,1.0,1.0,3.0,0.0,0.0,1.0,50.0,533.8,1.3,113.063413,27.829336,-39.0,-39.0,0.256,0.256
2020-03-22 16:49:30,1.0,1.0,3.0,0.0,0.0,1.0,50.0,533.8,1.2,113.063381,27.8293,-39.0,-39.0,0.256,0.256
2020-03-22 16:49:40,1.0,1.0,3.0,0.0,0.0,1.0,50.0,533.8,1.4,113.063336,27.829261,-39.0,-39.0,0.256,0.256
2020-03-22 16:49:50,1.0,1.0,3.0,0.0,0.0,1.0,50.0,533.8,1.2,113.063311,27.829231,-39.0,-39.0,0.256,0.256
2020-03-22 16:50:00,2.0,1.0,3.0,0.0,0.0,1.0,50.0,533.8,0.0,113.063316,27.829231,-39.0,-39.0,0.256,0.256
2020-03-22 16:50:10,2.0,1.0,3.0,0.0,0.0,1.0,50.0,533.9,0.0,113.063341,27.829255,-39.0,-39.0,0.256,0.256
2020-03-22 16:50:20,2.0,1.0,3.0,0.0,0.0,1.0,50.0,533.9,0.0,113.063381,27.82927,-39.0,-39.0,0.256,0.256
2020-03-22 16:50:30,2.0,1.0,3.0,0.0,0.0,1.0,50.0,533.9,0.0,113.063383,27.829271,-39.0,-39.0,0.256,0.256
2020-03-22 16:50:40,2.0,1.0,3.0,0.0,0.0,1.0,50.0,533.9,0.0,113.063371,27.829255,-39.0,-39.0,0.256,0.256
2020-03-22 16:50:50,2.0,1.0,3.0,0.0,0.0,1.0,50.0,533.9,0.0,113.063368,27.829238,-39.0,-39.0,0.256,0.256
2020-03-22 16:51:00,2.0,1.0,3.0,0.0,0.0,1.0,50.0,533.9,0.0,113.063343,27.82921,-39.0,-39.0,0.256,0.256
2020-03-22 16:51:10,2.0,1.0,3.0,0.0,0.0,1.0,50.0,533.9,0.0,113.063343,27.829203,-39.0,-39.0,0.256,0.256
2020-03-22 16:51:20,2.0,1.0,3.0,0.0,0.0,1.0,50.0,533.9,0.0,113.063353,27.829198,-39.0,-39.0,0.256,0.256
